site_id,ncollege,college,total_pop,college_percentage,volume,sent,left,total,sign_percentage,has_spouse,spouse_percentage
高雄市阿蓮區,18788,6736,25524,0.2639084782949381,7,350,366,716,0.0280520294624667,12776,0.5005485033693778
高雄市大寮區,73205,27386,100591,0.2722509966100347,29,1450,843,2293,0.02279527989581573,47661,0.47380978417552266
高雄市大社區,21938,9109,31047,0.29339388668792477,12,600,524,1124,0.03620317583019293,15082,0.4857796244403646
高雄市大樹區,28492,9803,38295,0.2559864212038125,12,600,415,1015,0.026504765635200416,18620,0.4862253557905732
高雄市鳳山二,100730,53588,154318,0.3472569628948016,NA,NA,NA,NA,NA,75849,0.49151103565365023
高雄市鳳山一,94542,62852,157394,0.3993290722645082,NA,NA,NA,NA,NA,75994,0.48282653722505303
高雄市岡山區,55426,29185,84611,0.3449315100873409,31,1550,781,2331,0.02754960938885015,42002,0.49641299594615357
高雄市鼓山區,66860,51830,118690,0.43668379812958125,55,2750,1033,3783,0.031872946330777654,58411,0.4921307608054596
高雄市湖內區,18788,7823,26611,0.2939761752658675,8,400,265,665,0.024989665927623916,13561,0.5096012926985082
高雄市茄萣區,21211,6068,27279,0.22244217163385754,7,350,397,747,0.027383701748597822,13096,0.4800762491293669
高雄市甲仙區,4806,796,5602,0.14209210996072832,1,50,80,130,0.02320599785790789,2601,0.46429846483398785
高雄市林園區,46100,15355,61455,0.24985761939630624,23,1150,628,1778,0.028931738670571965,29250,0.47595801806199656
高雄市苓雅區,85834,66569,152403,0.4367958635984856,76,3800,1282,5082,0.03334580027952206,72960,0.47873073364697544
高雄市六龜區,10188,1681,11869,0.14162945488246692,2,100,171,271,0.022832589097649337,5320,0.44822647232285784
高雄市路竹區,30763,14913,45676,0.3264953148261669,15,750,589,1339,0.02931517646028549,24118,0.5280234696558368
高雄市茂林區,1345,282,1627,0.17332513829133375,0,0,47,47,0.028887523048555623,638,0.39213275968039335
高雄市美濃區,27644,9001,36645,0.2456269613862737,8,400,462,862,0.02352299085823441,19375,0.5287215172601992
高雄市彌陀區,13325,3838,17163,0.22362057915282876,5,250,213,463,0.02697663578628445,8689,0.5062634737516751
高雄市那瑪夏區,2060,465,2525,0.18415841584158416,0,0,57,57,0.022574257425742573,1213,0.4803960396039604
高雄市楠梓區,95456,62081,157537,0.3940725036023283,70,3500,890,4390,0.02786646946431632,78812,0.5002761256085871
高雄市內門區,11607,1815,13422,0.135225748770675,2,100,163,263,0.01959469527641186,6965,0.5189241543734168
高雄市鳥松區,23747,16555,40302,0.41077365887549006,NA,NA,NA,NA,NA,20896,0.5184854349660066
高雄市旗津區,20322,5535,25857,0.21406195614340412,9,450,223,673,0.026027768109216073,11711,0.4529141044978149
高雄市旗山區,25543,7791,33334,0.23372532549349012,9,450,449,899,0.026969460610787786,15835,0.4750404991900162
高雄市前金區,13317,11430,24747,0.46187416656564434,11,550,36,586,0.023679637935911425,11653,0.47088535984159696
高雄市前鎮區,107354,60924,168278,0.36204376091943097,71,3550,490,4040,0.02400789170301525,79716,0.47371611262315927
高雄市橋頭區,22064,11500,33564,0.3426290072696937,10,500,428,928,0.02764867119532833,17065,0.5084316529615064
高雄市仁武區,49392,25607,74999,0.3414312190829211,28,1400,1412,2812,0.03749383325111001,38494,0.5132601768023574
高雄市三民二,132610,97075,229685,0.42264405598972504,NA,NA,NA,NA,NA,111115,0.48377125193199383
高雄市三民一,43080,28613,71693,0.39910451508515477,NA,NA,NA,NA,NA,34034,0.4747185917732554
高雄市杉林區,9553,1512,11065,0.13664708540442838,1,50,239,289,0.02611839132399458,5174,0.4676005422503389
高雄市桃源區,2961,620,3581,0.1731359955319743,0,0,143,143,0.03993297961463278,1588,0.4434515498464116
高雄市田寮區,5904,951,6855,0.1387308533916849,0,0,152,152,0.022173595915390226,3627,0.5291028446389496
高雄市小港區,92713,44635,137348,0.3249774295948976,56,2800,1671,4471,0.03255234877828581,68194,0.49650522759705273
高雄市新興區,23937,21904,45841,0.47782552736633144,21,1050,724,1774,0.03869898126131629,21857,0.47680024432276785
高雄市鹽埕區,13811,8416,22227,0.37863859270256894,10,500,338,838,0.037701894092770055,9869,0.4440095379493409
高雄市燕巢區,20194,6775,26969,0.251214357224962,8,400,236,636,0.0235826319107123,13334,0.49441951870666323
高雄市永安區,8988,3405,12393,0.2747518760590656,2,100,179,279,0.022512708787218592,6656,0.5370773823932865
高雄市梓官區,23740,8618,32358,0.26633290067371285,9,450,319,769,0.023765374868656902,15822,0.48896717967735953
高雄市左營區,96844,71740,168584,0.42554453566174727,86,4300,1461,5761,0.0341728752432022,82406,0.4888126987139942
