縣市,鄉鎮市區,送出冊數,送出張數,剩餘,總張數
臺北市,中正區,114,5700,302,6002
臺北市,大同區,103,5150,277,5427
臺北市,中山區,147,7350,1445,8795
臺北市,松山區,140,7000,268,7268
臺北市,大安區,230,11500,526,12026
臺北市,萬華區,135,6750,255,7005
臺北市,信義區,181,9050,270,9320
臺北市,士林區,204,10200,1002,11202
臺北市,北投區,153,7650,389,8039
臺北市,內湖區,229,11450,418,11868
臺北市,南港區,85,4250,575,4825
臺北市,文山區,230,11500,229,11729
新北市,板橋區,373,18650,1754,20404
新北市,新莊區,178,8900,640,9540
新北市,中和區,259,12950,540,13490
新北市,永和區,176,8800,919,9719
新北市,土城區,70,3500,1463,4963
新北市,樹林區,89,4450,734,5184
新北市,三峽區,57,2850,85,2935
新北市,鶯歌區,43,2150,160,2310
新北市,三重區,230,11500,348,11848
新北市,蘆洲區,143,7150,273,7423
新北市,五股區,25,1250,91,1341
新北市,泰山區,41,2050,410,2460
新北市,林口區,55,2750,162,2912
新北市,八里區,22,1100,20,1120
新北市,淡水區,81,4050,184,4234
新北市,三芝區,9,450,512,962
新北市,石門區,6,300,103,403
新北市,金山區,9,450,138,588
新北市,萬里區,7,350,80,430
新北市,汐止區,66,3300,2377,5677
新北市,瑞芳區,12,600,122,722
新北市,貢寮區,3,150,65,215
新北市,平溪區,1,50,68,118
新北市,雙溪區,2,100,57,157
新北市,新店區,221,11050,466,11516
新北市,深坑區,13,650,370,1020
新北市,石碇區,2,100,77,177
新北市,坪林區,1,50,126,176
新北市,烏來區,2,100,115,215
桃園市,桃園區,236,11800,525,12325
桃園市,中壢區,200,10000,441,10441
桃園市,平鎮區,98,4900,243,5143
桃園市,八德區,71,3550,181,3731
桃園市,楊梅區,62,3100,191,3291
桃園市,蘆竹區,70,3500,168,3668
桃園市,大溪區,33,1650,91,1741
桃園市,龍潭區,52,2600,159,2759
桃園市,龜山區,70,3500,118,3618
桃園市,大園區,38,1900,110,2010
桃園市,觀音區,22,1100,125,1225
桃園市,新屋區,14,700,107,807
桃園市,復興區,0,0,58,58
臺中市,中區,4,200,249,449
臺中市,東區,35,1750,93,1843
臺中市,南區,39,1950,268,2218
臺中市,西區,73,3650,314,3964
臺中市,北區,71,3550,923,4473
臺中市,北屯區,134,6700,958,7658
臺中市,西屯區,126,6300,508,6808
臺中市,南屯區,51,2550,475,3025
臺中市,太平區,63,3150,1084,4234
臺中市,大里區,71,3550,556,4106
臺中市,霧峰區,20,1000,321,1321
臺中市,烏日區,32,1600,358,1958
臺中市,豐原區,44,2200,746,2946
臺中市,后里區,19,950,57,1007
臺中市,石岡區,3,150,189,339
臺中市,東勢區,13,650,189,839
臺中市,新社區,5,250,170,420
臺中市,潭子區,41,2050,432,2482
臺中市,大雅區,26,1300,389,1689
臺中市,神岡區,19,950,276,1226
臺中市,大肚區,14,700,151,851
臺中市,沙鹿區,27,1350,420,1770
臺中市,龍井區,21,1050,300,1350
臺中市,梧棲區,14,700,208,908
臺中市,清水區,21,1050,408,1458
臺中市,大甲區,12,600,161,761
臺中市,外埔區,10,500,38,538
臺中市,大安區,4,200,331,531
臺中市,和平區,1,50,262,312
臺南市,中西區,45,2250,114,2364
臺南市,東區,114,5700,292,5992
臺南市,南區,52,2600,184,2784
臺南市,北區,63,3150,302,3452
臺南市,安平區,34,1700,295,1995
臺南市,安南區,64,3200,215,3415
臺南市,永康區,118,5900,288,6188
臺南市,歸仁區,26,1300,186,1486
臺南市,新化區,9,450,106,556
臺南市,左鎮區,0,0,13,13
臺南市,玉井區,1,50,260,310
臺南市,楠西區,0,0,152,152
臺南市,南化區,0,0,149,149
臺南市,仁德區,23,1150,201,1351
臺南市,關廟區,4,200,721,921
臺南市,龍崎區,0,0,27,27
臺南市,官田區,1,50,303,353
臺南市,麻豆區,12,600,42,642
臺南市,佳里區,16,800,60,860
臺南市,西港區,7,350,126,476
臺南市,七股區,3,150,114,264
臺南市,將軍區,1,50,308,358
臺南市,學甲區,2,100,523,623
臺南市,北門區,0,0,146,146
臺南市,新營區,32,1600,310,1910
臺南市,後壁區,1,50,158,208
臺南市,白河區,2,100,460,560
臺南市,東山區,1,50,215,265
臺南市,六甲區,2,100,558,658
臺南市,下營區,5,250,82,332
臺南市,留影區,2,100,349,449
臺南市,鹽水區,6,300,72,372
臺南市,善化區,13,650,79,729
臺南市,大內區,0,0,156,156
臺南市,山上區,0,0,144,144
臺南市,新市區,12,600,35,635
臺南市,安定區,8,400,75,475
高雄市,楠梓區,72,3600,141,3741
高雄市,左營區,67,3350,1912,5262
高雄市,鼓山區,49,2450,113,2563
高雄市,三民區,168,8400,745,9145
高雄市,鹽埕區,11,550,503,1053
高雄市,前金區,12,600,118,718
高雄市,新興區,25,1250,163,1413
高雄市,苓雅區,57,2850,2065,4915
高雄市,前鎮區,69,3450,242,3692
高雄市,旗津區,8,400,96,496
高雄市,小港區,56,2800,851,3651
高雄市,鳳山區,124,6200,1136,7336
高雄市,大寮區,30,1500,344,1844
高雄市,烏松區,18,900,95,995
高雄市,林園區,19,950,178,1128
高雄市,仁武區,26,1300,133,1433
高雄市,大樹區,10,500,133,633
高雄市,大社區,12,600,70,670
高雄市,岡山區,24,1200,37,1237
高雄市,路竹區,15,750,181,931
高雄市,橋頭區,11,550,844,1394
高雄市,梓官區,3,150,786,936
高雄市,彌陀區,4,200,121,321
高雄市,永安區,3,150,77,227
高雄市,燕巢區,7,350,70,420
高雄市,田寮區,1,50,42,92
高雄市,阿蓮區,7,350,42,392
高雄市,茄萣區,7,350,462,812
高雄市,湖內區,7,350,95,445
高雄市,旗山區,6,300,118,418
高雄市,美濃區,7,350,135,485
高雄市,內門區,1,50,152,202
高雄市,杉林區,1,50,115,165
高雄市,甲仙區,1,50,28,78
高雄市,六龜區,2,100,110,210
高雄市,茂林區,0,0,36,36
高雄市,桃源區,0,0,67,67
高雄市,那瑪夏區,0,0,28,28
基隆市,仁愛區,14,700,140,840
基隆市,中正區,20,1000,174,1174
基隆市,信義區,28,1400,124,1524
基隆市,中山區,17,850,92,942
基隆市,安樂區,43,2150,122,2272
基隆市,暖暖區,7,350,937,1287
基隆市,七堵區,20,1000,89,1089
新竹市,東區,87,4350,1215,5565
新竹市,北區,52,2600,404,3004
新竹市,香山區,32,1600,194,1794
嘉義市,東區,34,1700,2026,3726
嘉義市,西區,61,3050,533,3583
新竹縣,竹北市,64,3200,541,3741
新竹縣,竹東鎮,33,1650,84,1734
新竹縣,新埔鎮,8,400,305,705
