縣市,鄉鎮市區,送出冊數,送出張數,剩餘,總張數
臺北市,中正區,95,4750,2240,6990
臺北市,大同區,77,3850,811,4661
臺北市,中山區,157,7850,1597,9447
臺北市,松山區,138,6900,2235,9135
臺北市,大安區,213,10650,3023,13673
臺北市,萬華區,113,5650,1134,6784
臺北市,信義區,141,7050,3474,10524
臺北市,士林區,173,8650,1789,10439
臺北市,北投區,159,7950,1440,9390
臺北市,內湖區,192,9600,2632,12232
臺北市,南港區,76,3800,1052,4852
臺北市,文山區,158,7900,4632,12532
新北市,板橋區,337,16850,5260,22110
新北市,新莊區,232,11600,1335,12935
新北市,中和區,264,13200,821,14021
新北市,永和區,158,7900,2017,9917
新北市,土城區,148,7400,283,7683
新北市,樹林區,82,4100,923,5023
新北市,三峽區,53,2650,471,3121
新北市,鶯歌區,35,1750,513,2263
新北市,三重區,231,11550,3547,15097
新北市,蘆洲區,116,5800,2736,8536
新北市,五股區,44,2200,482,2682
新北市,泰山區,36,1800,319,2119
新北市,林口區,52,2600,651,3251
新北市,八里區,16,800,249,1049
新北市,淡水區,103,5150,393,5543
新北市,三芝區,9,450,201,651
新北市,石門區,5,250,152,402
新北市,金山區,8,400,319,719
新北市,萬里區,6,300,393,693
新北市,汐止區,114,5700,1513,7213
新北市,瑞芳區,12,600,427,1027
新北市,貢寮區,3,150,211,361
新北市,平溪區,0,0,129,129
新北市,雙溪區,2,100,137,237
新北市,新店區,214,10700,1589,12289
新北市,深坑區,12,600,841,1441
新北市,石碇區,2,100,118,218
新北市,坪林區,2,100,112,212
新北市,烏來區,2,100,167,267
桃園市,桃園區,236,11800,672,12472
桃園市,中壢區,194,9700,2206,11906
桃園市,平鎮區,98,4900,511,5411
桃園市,八德區,60,3000,822,3822
桃園市,楊梅區,65,3250,1087,4337
桃園市,蘆竹區,64,3200,1361,4561
桃園市,大溪區,34,1700,606,2306
桃園市,龍潭區,48,2400,478,2878
桃園市,龜山區,65,3250,198,3448
桃園市,大園區,31,1550,157,1707
桃園市,觀音區,23,1150,511,1661
桃園市,新屋區,12,600,213,813
桃園市,復興區,2,100,152,252
臺中市,中區,7,350,101,451
臺中市,東區,36,1800,147,1947
臺中市,南區,62,3100,612,3712
臺中市,西區,69,3450,30,3480
臺中市,北區,64,3200,3649,6849
臺中市,北屯區,112,5600,3413,9013
臺中市,西屯區,124,6200,37,6237
臺中市,南屯區,92,4600,158,4758
臺中市,太平區,59,2950,1866,4816
臺中市,大里區,71,3550,2185,5735
臺中市,霧峰區,14,700,704,1404
臺中市,烏日區,17,850,887,1737
臺中市,豐原區,59,2950,912,3862
臺中市,后里區,10,500,128,628
臺中市,石岡區,2,100,302,402
臺中市,東勢區,18,900,525,1425
臺中市,新社區,4,200,220,420
臺中市,潭子區,38,1900,809,2709
臺中市,大雅區,21,1050,846,1896
臺中市,神岡區,19,950,420,1370
臺中市,大肚區,13,650,595,1245
臺中市,沙鹿區,21,1050,385,1435
臺中市,龍井區,15,750,940,1690
臺中市,梧棲區,17,850,477,1327
臺中市,清水區,24,1200,697,1897
臺中市,大甲區,16,800,422,1222
臺中市,外埔區,7,350,346,696
臺中市,大安區,3,150,250,400
臺中市,和平區,1,50,289,339
臺南市,中西區,28,1400,1422,2822
臺南市,東區,50,2500,1171,3671
臺南市,南區,52,2600,1246,3846
臺南市,北區,46,2300,2326,4626
臺南市,安平區,24,1200,1203,2403
臺南市,安南區,67,3350,1089,4439
臺南市,永康區,100,5000,1189,6189
臺南市,歸仁區,18,900,789,1689
臺南市,新化區,12,600,233,833
臺南市,左鎮區,0,0,56,56
臺南市,玉井區,3,150,91,241
臺南市,楠西區,2,100,27,127
臺南市,南化區,2,100,80,180
臺南市,仁德區,34,1700,294,1994
臺南市,關廟區,9,450,252,702
臺南市,龍崎區,0,0,43,43
臺南市,官田區,9,450,144,594
臺南市,麻豆區,13,650,532,1182
臺南市,佳里區,21,1050,140,1190
臺南市,西港區,5,250,303,553
臺南市,七股區,3,150,187,337
臺南市,將軍區,4,200,87,287
臺南市,學甲區,4,200,178,378
臺南市,北門區,3,150,50,200
臺南市,新營區,25,1250,1253,2503
臺南市,後壁區,6,300,121,421
臺南市,白河區,8,400,121,521
臺南市,東山區,6,300,63,363
臺南市,六甲區,7,350,298,648
臺南市,下營區,7,350,137,487
臺南市,留影區,7,350,145,495
臺南市,鹽水區,9,450,99,549
臺南市,善化區,17,850,311,1161
臺南市,大內區,1,50,86,136
臺南市,山上區,2,100,86,186
臺南市,新市區,9,450,433,883
臺南市,安定區,7,350,216,566
高雄市,楠梓區,70,3500,890,4390
高雄市,左營區,86,4300,1461,5761
高雄市,鼓山區,55,2750,1033,3783
高雄市,三民區,163,8150,532,8682
高雄市,鹽埕區,10,500,338,838
高雄市,前金區,11,550,36,586
高雄市,新興區,21,1050,724,1774
高雄市,苓雅區,76,3800,1282,5082
高雄市,前鎮區,71,3550,490,4040
高雄市,旗津區,9,450,223,673
高雄市,小港區,56,2800,1671,4471
高雄市,鳳山區,117,5850,890,6740
高雄市,大寮區,29,1450,843,2293
高雄市,烏松區,19,950,459,1409
高雄市,林園區,23,1150,628,1778
高雄市,仁武區,28,1400,1412,2812
高雄市,大樹區,12,600,415,1015
高雄市,大社區,12,600,524,1124
高雄市,岡山區,31,1550,781,2331
高雄市,路竹區,15,750,589,1339
高雄市,橋頭區,10,500,428,928
高雄市,梓官區,9,450,319,769
高雄市,彌陀區,5,250,213,463
高雄市,永安區,2,100,179,279
高雄市,燕巢區,8,400,236,636
高雄市,田寮區,0,0,152,152
高雄市,阿蓮區,7,350,366,716
高雄市,茄萣區,7,350,397,747
高雄市,湖內區,8,400,265,665
高雄市,旗山區,9,450,449,899
高雄市,美濃區,8,400,462,862
高雄市,內門區,2,100,163,263
高雄市,杉林區,1,50,239,289
高雄市,甲仙區,1,50,80,130
高雄市,六龜區,2,100,171,271
高雄市,茂林區,0,0,47,47
高雄市,桃源區,0,0,143,143
高雄市,那瑪夏區,0,0,57,57
基隆市,仁愛區,12,600,541,1141
基隆市,中正區,15,750,695,1445
基隆市,信義區,18,900,945,1845
基隆市,中山區,14,700,645,1345
基隆市,安樂區,27,1350,1317,2667
基隆市,暖暖區,13,650,600,1250
基隆市,七堵區,15,750,702,1452
新竹市,東區,100,5000,351,5351
新竹市,北區,62,3100,748,3848
新竹市,香山區,30,1500,1088,2588
嘉義市,東區,61,3050,716,3766
嘉義市,西區,65,3250,586,3836
新竹縣,竹北市,58,2900,1540,4440
新竹縣,竹東鎮,31,1550,869,2419
新竹縣,新埔鎮,9,450,267,717
新竹縣,關西鎮,9,450,220,670
新竹縣,湖口鄉,21,1050,691,1741
新竹縣,新豐鄉,16,800,47,847
新竹縣,峨眉鄉,0,0,215,215
新竹縣,寶山鄉,4,200,340,540
新竹縣,北埔鄉,2,100,178,278
新竹縣,芎林鄉,6,300,141,441
新竹縣,橫山鄉,3,150,136,286
新竹縣,尖石鄉,1,50,188,238
新竹縣,五峰鄉,0,0,183,183
苗栗縣,苗栗市,33,1650,63,1713
苗栗縣,頭份市,31,1550,55,1605
苗栗縣,竹南鎮,25,1250,440,1690
苗栗縣,後龍鎮,9,450,389,839
苗栗縣,通霄鎮,8,400,317,717
苗栗縣,苑裡鎮,11,550,334,884
苗栗縣,卓蘭鎮,3,150,380,530
苗栗縣,造橋鄉,1,50,330,380
苗栗縣,西湖鄉,0,0,304,304
苗栗縣,頭屋鄉,2,100,8,108
苗栗縣,公館鄉,12,600,144,744
苗栗縣,銅鑼鄉,4,200,173,373
苗栗縣,三義鄉,3,150,131,281
苗栗縣,大湖鄉,5,250,389,639
苗栗縣,獅潭鄉,0,0,85,85
苗栗縣,三灣鄉,0,0,161,161
苗栗縣,南庄鄉,1,50,161,211
苗栗縣,泰安鄉,0,0,207,207
彰化縣,彰化市,75,3750,2654,6404
彰化縣,員林市,54,2700,600,3300
彰化縣,和美鎮,27,1350,467,1817
彰化縣,鹿港鎮,22,1100,313,1413
彰化縣,溪湖鎮,12,600,542,1142
彰化縣,二林鎮,12,600,239,839
彰化縣,田中鎮,14,700,203,903
彰化縣,北斗鎮,10,500,224,724
彰化縣,花壇鄉,14,700,322,1022
彰化縣,芬園鄉,4,200,242,442
彰化縣,大村鄉,8,400,536,936
彰化縣,永靖鄉,11,550,158,708
彰化縣,伸港鄉,7,350,366,716
彰化縣,線西鄉,4,200,113,313
彰化縣,福興鄉,11,550,210,760
彰化縣,秀水鄉,10,500,209,709
彰化縣,埔心鄉,7,350,468,818
彰化縣,埔鹽鄉,4,200,364,564
彰化縣,大城鄉,2,100,95,195
彰化縣,芳苑鄉,5,250,239,489
彰化縣,竹塘鄉,3,150,54,204
彰化縣,社頭鄉,13,650,207,857
彰化縣,二水鄉,2,100,204,304
彰化縣,田尾鄉,7,350,201,551
彰化縣,埤頭鄉,5,250,322,572
彰化縣,溪州鄉,4,200,266,466
南投縣,南投市,37,1850,185,2035
南投縣,埔里鎮,28,1400,82,1482
南投縣,草屯鎮,34,1700,198,1898
南投縣,竹山鎮,17,850,62,912
南投縣,集集鎮,1,50,173,223
南投縣,名間鄉,11,550,41,591
南投縣,鹿谷鄉,4,200,74,274
南投縣,中寮鄉,2,100,1,101
南投縣,魚池鄉,2,100,61,161
南投縣,國姓鄉,2,100,173,273
南投縣,水里鄉,3,150,99,249
南投縣,信義鄉,1,50,198,248
南投縣,仁愛鄉,1,50,173,223
雲林縣,斗六市,39,1950,829,2779
雲林縣,斗南鎮,12,600,195,795
雲林縣,虎尾鎮,20,1000,567,1567
雲林縣,西螺鎮,11,550,127,677
雲林縣,土庫鎮,5,250,497,747
雲林縣,北港鎮,12,600,173,773
雲林縣,林內鄉,3,150,127,277
雲林縣,古坑鄉,7,350,258,608
雲林縣,大埤鄉,4,200,308,508
雲林縣,莿桐鄉,7,350,143,493
雲林縣,褒忠鄉,3,150,100,250
雲林縣,二崙鄉,5,250,305,555
雲林縣,崙背鄉,14,700,235,935
雲林縣,麥寮鄉,11,550,19,569
雲林縣,臺西鄉,4,200,212,412
雲林縣,東勢鄉,2,100,278,378
雲林縣,元長鄉,4,200,131,331
雲林縣,四湖鄉,4,200,73,273
雲林縣,口湖鄉,6,300,73,373
雲林縣,水林鄉,5,250,231,481
嘉義縣,太保市,13,650,150,800
嘉義縣,朴子市,13,650,177,827
嘉義縣,布袋鎮,5,250,172,422
嘉義縣,大林鎮,9,450,475,925
嘉義縣,民雄鄉,26,1300,635,1935
嘉義縣,溪口鄉,4,200,125,325
嘉義縣,新港鄉,9,450,199,649
嘉義縣,六腳鄉,5,250,52,302
嘉義縣,東石鄉,4,200,64,264
嘉義縣,義竹鄉,3,150,133,283
嘉義縣,魯草香,4,200,22,222
嘉義縣,水上鄉,17,850,207,1057
嘉義縣,中埔鄉,14,700,315,1015
嘉義縣,竹崎鄉,11,550,54,604
嘉義縣,梅山鄉,5,250,236,486
嘉義縣,番路鄉,3,150,76,226
嘉義縣,大埔鄉,1,50,32,82
嘉義縣,阿里山鄉,1,50,69,119
屏東縣,屏東市,64,3200,366,3566
屏東縣,潮州鎮,16,800,384,1184
屏東縣,東港鎮,0,0,2620,2620
屏東縣,恆春鎮,7,350,32,382
屏東縣,萬丹鄉,8,400,732,1132
屏東縣,長治鄉,9,450,81,531
屏東縣,麟洛鄉,3,150,9,159
屏東縣,九如鄉,5,250,32,282
屏東縣,里港鄉,4,200,276,476
屏東縣,鹽埔鄉,2,100,628,728
屏東縣,高樹鄉,4,200,59,259
屏東縣,萬巒鄉,3,150,23,173
屏東縣,內埔鄉,12,600,77,677
屏東縣,竹田鄉,0,0,696,696
屏東縣,新埤鄉,2,100,50,150
屏東縣,枋寮鄉,4,200,23,223
屏東縣,新園鄉,0,0,1418,1418
屏東縣,崁頂鄉,3,150,9,159
屏東縣,林邊鄉,3,150,23,173
屏東縣,南州鄉,1,50,312,362
屏東縣,佳冬鄉,4,200,32,232
屏東縣,琉球鄉,0,0,276,276
屏東縣,車城鄉,0,0,239,239
屏東縣,滿州鄉,1,50,18,68
屏東縣,枋山鄉,0,0,47,47
屏東縣,霧臺鄉,0,0,122,122
屏東縣,瑪家鄉,1,50,27,77
屏東縣,泰武鄉,0,0,77,77
屏東縣,來義鄉,0,0,226,226
屏東縣,春日鄉,0,0,14,14
屏東縣,獅子鄉,0,0,14,14
屏東縣,牡丹鄉,0,0,253,253
屏東縣,三地門鄉,1,50,14,64
宜蘭縣,宜蘭市,31,1550,1994,3544
宜蘭縣,頭城鎮,7,350,497,847
宜蘭縣,羅東鎮,25,1250,1424,2674
宜蘭縣,蘇澳鎮,9,450,528,978
宜蘭縣,礁溪鄉,10,500,364,864
宜蘭縣,壯圍鄉,6,300,420,720
宜蘭縣,員山鄉,8,400,613,1013
宜蘭縣,冬山鄉,14,700,886,1586
宜蘭縣,五結鄉,12,600,613,1213
宜蘭縣,三星鄉,5,250,366,616
宜蘭縣,大同鄉,1,50,178,228
宜蘭縣,南澳鄉,1,50,181,231
花蓮縣,花蓮市,34,1700,1280,2980
花蓮縣,鳳林鎮,2,100,119,219
花蓮縣,玉里鎮,4,200,298,498
花蓮縣,新城鄉,5,250,217,467
花蓮縣,吉安鄉,24,1200,1034,2234
花蓮縣,壽豐鄉,4,200,284,484
花蓮縣,光復鄉,2,100,181,281
花蓮縣,豐濱鄉,1,50,27,77
花蓮縣,瑞穗鄉,2,100,129,229
花蓮縣,富里鄉,1,50,117,167
花蓮縣,秀林鄉,3,150,160,310
花蓮縣,萬榮鄉,0,0,177,177
花蓮縣,卓溪鄉,0,0,138,138
臺東縣,臺東市,14,700,1746,2446
臺東縣,成功鎮,2,100,142,242
臺東縣,關山鎮,1,50,151,201
臺東縣,長濱鄉,1,50,63,113
臺東縣,池上鄉,1,50,78,128
臺東縣,東河鄉,1,50,77,127
臺東縣,鹿野鄉,1,50,114,164
臺東縣,卑南鄉,2,100,229,329
臺東縣,大武鄉,0,0,118,118
