site_id,total,total_pop,sign_percentage
新北市深坑區,1441,21349,6.75%
屏東縣東港鎮,2620,41301,6.34%
屏東縣牡丹鄉,253,4338,5.83%
臺北市信義區,10524,197769,5.32%
臺北市文山區,12532,235870,5.31%
臺中市北區,6849,129190,5.3%
臺北市中正區,6990,133754,5.23%
臺北市大安區,13673,262991,5.2%
臺北市松山區,9135,176139,5.19%
新北市永和區,9917,195541,5.07%
臺北市內湖區,12232,245630,4.98%
新北市烏來區,267,5375,4.97%
新北市蘆洲區,8536,174114,4.9%
宜蘭縣南澳鄉,231,4732,4.88%
苗栗縣大湖鄉,639,13225,4.83%
新竹縣五峰鄉,183,3900,4.69%
臺北市中山區,9447,201762,4.68%
新北市板橋區,22110,477464,4.63%
苗栗縣西湖鄉,304,6610,4.6%
臺北市南港區,4852,105697,4.59%
